n,iterations,jacobi,armadillo
200,60129,15.09163100,0.02591700000
200,60129,15.10388500,0.02559400000
200,60129,15.02901000,0.02542300000
201,61147,15.72290300,0.02571600000
201,61147,15.76957300,0.02548300000
201,61147,15.81575400,0.02561300000
202,61750,16.03884100,0.02553900000
202,61750,16.10674700,0.02567000000
202,61750,16.06942900,0.02688200000
203,62662,16.47919000,0.02586400000
203,62662,16.49627400,0.02576200000
203,62662,16.48372300,0.02570400000
204,62551,16.47719000,0.02594300000
204,62551,16.48295800,0.02587600000
204,62551,16.53565200,0.02596300000
205,63651,17.63654500,0.02739600000
205,63651,17.60875100,0.02645200000
205,63651,17.60757300,0.02637000000
206,64186,17.39126900,0.02669000000
206,64186,17.45858100,0.02678000000
206,64186,17.42969700,0.02700100000
207,64838,17.82777200,0.02717100000
207,64838,17.83132500,0.02708900000
207,64838,17.80932100,0.02709400000
208,65210,18.08067000,0.02798800000
208,65210,18.02072600,0.02784100000
208,65210,18.04832500,0.02811600000
209,66245,18.58080800,0.02798300000
209,66245,18.60629500,0.02787400000
209,66245,18.60794500,0.02794900000
210,66561,18.87097700,0.02823800000
210,66561,18.86036100,0.02815700000
210,66561,18.81438400,0.02814800000
211,67217,19.22359000,0.02921000000
211,67217,19.18543400,0.02944300000
211,67217,19.19917300,0.02863100000
212,68134,19.46337700,0.02995300000
212,68134,19.48589700,0.02913000000
212,68134,19.47371800,0.02895700000
213,68476,19.98584400,0.03046400000
213,68476,20.08205900,0.02961300000
213,68476,20.01880000,0.02949100000
214,69220,20.35985000,0.03062300000
214,69220,20.35925600,0.03002100000
214,69220,20.33643700,0.03004000000
215,70114,20.85427300,0.03026600000
215,70114,20.88094800,0.03046400000
215,70114,20.86062200,0.03024500000
216,70841,20.88358400,0.03070800000
216,70841,20.84778500,0.03072400000
216,70841,20.85893700,0.03062800000
217,71609,21.79784100,0.03246200000
217,71609,21.91275300,0.03128500000
217,71609,21.85740700,0.03123200000
218,71205,21.81550900,0.03149700000
218,71205,21.86099600,0.03145300000
218,71205,21.82641400,0.03150100000
219,72869,22.64298400,0.03217400000
219,72869,22.59816200,0.03208900000
219,72869,22.70971800,0.03212500000
220,73507,22.80317200,0.03249100000
220,73507,22.74965400,0.03232900000
220,73507,22.71786900,0.03283000000
221,73580,23.21903200,0.03341700000
221,73580,23.21189100,0.03270700000
221,73580,23.28809800,0.03292100000
222,74560,23.82233300,0.03384200000
222,74560,23.73366700,0.03324500000
222,74560,23.73875200,0.03320600000
223,75565,24.40987700,0.03430600000
223,75565,24.37944800,0.03375800000
223,75565,24.51495100,0.03362300000
224,75428,24.91644800,0.03396900000
224,75428,25.03117100,0.03407500000
224,75428,25.00314300,0.03446500000
225,76981,25.30206400,0.03444500000
225,76981,25.32055700,0.03443600000
225,76981,25.29551800,0.03464700000
226,77822,26.08675100,0.03496500000
226,77822,26.75558000,0.04020500000
226,77822,29.42435900,0.03987700000
227,77652,27.23633200,0.03756900000
227,77652,25.97947300,0.03834300000
227,77652,27.52225200,0.03681400000
228,78605,27.56722800,0.03666600000
228,78605,27.64489300,0.04003700000
228,78605,26.46528600,0.03578700000
229,79018,27.37127500,0.04010400000
229,79018,29.54380400,0.04035800000
229,79018,27.42581400,0.03605800000
230,79579,29.61475600,0.03726400000
230,79579,28.19103100,0.03655100000
230,79579,28.25679000,0.03734900000
231,80909,29.53801000,0.03735300000
231,80909,29.47412000,0.03707300000
231,80909,28.32956200,0.03699300000
232,81259,27.99875500,0.03731200000
232,81259,27.99998600,0.03839100000
232,81259,28.16943300,0.03734400000
233,82333,29.96006200,0.03789700000
233,82333,31.77773000,0.03801300000
233,82333,29.66196200,0.03820500000
234,83219,31.27662400,0.04478800000
234,83219,31.82984500,0.04356700000
234,83219,31.29430200,0.04439700000
235,83964,33.42972300,0.03869000000
235,83964,32.28178700,0.04221600000
235,83964,33.04247700,0.04041100000
236,83966,31.94508000,0.03977400000
236,83966,30.76986500,0.04112700000
236,83966,32.15711400,0.04025800000
237,85163,33.57423400,0.04483400000
237,85163,34.31442000,0.04295700000
237,85163,32.02120900,0.03956100000
238,86349,32.94025400,0.04045000000
238,86349,33.92215000,0.04007000000
238,86349,34.03710600,0.04152500000
239,86524,34.75227100,0.06360400000
239,86524,34.31041300,0.04423500000
239,86524,34.33922700,0.04369400000
240,86564,34.17592500,0.04852900000
240,86564,33.51874400,0.04221500000
240,86564,33.07662100,0.04772800000
241,87943,36.26468700,0.05267400000
241,87943,37.23911900,0.04385500000
241,87943,37.01966300,0.04295900000
242,88474,37.66137300,0.04570300000
242,88474,36.91977600,0.04853200000
242,88474,40.17403200,0.04468500000
243,90075,36.40940400,0.04295600000
243,90075,37.23010000,0.04338100000
243,90075,37.24116500,0.04362700000
244,89306,34.95573800,0.04400400000
244,89306,34.43851900,0.04325600000
244,89306,34.33836100,0.04318500000
245,90849,35.66122500,0.04814400000
245,90849,36.00166800,0.04403600000
245,90849,36.50402000,0.04414000000
246,91422,36.99759800,0.04558700000
246,91422,36.99542600,0.04433300000
246,91422,37.28569900,0.04439500000
247,92641,37.85891100,0.04783000000
247,92641,38.84301400,0.05244100000
247,92641,38.63706500,0.04457000000
248,93394,37.32344300,0.05014200000
248,93394,37.14007800,0.04533100000
248,93394,37.42244200,0.05034200000
249,93741,39.73317800,0.04795300000
249,93741,39.97701300,0.04605600000
249,93741,37.93537600,0.05162100000
250,94740,39.68241300,0.04621900000
250,94740,40.40372200,0.04620400000
250,94740,40.79611800,0.05242700000
