n,iterations,jacobi,armadillo
5,28,0.0001650000000,0.0001660000000
5,28,0.0001320000000,1.500000000e-05
5,28,0.0001290000000,1.300000000e-05
5,28,0.0001240000000,1.200000000e-05
5,28,0.0001290000000,1.100000000e-05
10,127,0.0006730000000,4.700000000e-05
10,127,0.0006690000000,4.100000000e-05
10,127,0.0006320000000,4.700000000e-05
10,127,0.0006370000000,3.600000000e-05
10,127,0.0005860000000,3.900000000e-05
20,565,0.003714000000,9.600000000e-05
20,565,0.003395000000,0.0001040000000
20,565,0.004198000000,0.0001690000000
20,565,0.004037000000,0.0001270000000
20,565,0.002976000000,0.0001290000000
25,920,0.007463000000,0.0002020000000
25,920,0.006687000000,0.0001790000000
25,920,0.005537000000,0.0001400000000
25,920,0.007235000000,0.0001550000000
25,920,0.007039000000,0.0002010000000
30,1333,0.01443000000,0.0002870000000
30,1333,0.01276000000,0.0001660000000
30,1333,0.01296200000,0.0002500000000
30,1333,0.01344700000,0.0002520000000
30,1333,0.01381300000,0.0002480000000
40,2395,0.03501200000,0.0006050000000
40,2395,0.02692400000,0.0003870000000
40,2395,0.02784600000,0.0003790000000
40,2395,0.02760100000,0.0003600000000
40,2395,0.02810400000,0.0005720000000
50,3777,0.05677800000,0.0005670000000
50,3777,0.05558800000,0.0005410000000
50,3777,0.05578500000,0.0005490000000
50,3777,0.05652500000,0.0005420000000
50,3777,0.05605800000,0.0005520000000
60,5434,0.1058380000,0.0008700000000
60,5434,0.1046940000,0.0007860000000
60,5434,0.1054510000,0.0007720000000
60,5434,0.1099760000,0.0008410000000
60,5434,0.1102290000,0.0008300000000
70,7426,0.1853480000,0.001263000000
70,7426,0.1856390000,0.001220000000
70,7426,0.1854990000,0.001214000000
70,7426,0.1823820000,0.001202000000
70,7426,0.1874750000,0.001155000000
80,9773,0.2949020000,0.001655000000
80,9773,0.2940330000,0.001647000000
80,9773,0.2940950000,0.001654000000
80,9773,0.2950060000,0.001684000000
80,9773,0.2959470000,0.001670000000
90,12310,0.4549960000,0.002264000000
90,12310,0.4558360000,0.002240000000
90,12310,0.4524530000,0.002202000000
90,12310,0.4540500000,0.002642000000
90,12310,0.4583520000,0.002194000000
100,15350,0.6839170000,0.002901000000
100,15350,0.6765070000,0.002868000000
100,15350,0.6752490000,0.002875000000
100,15350,0.6753180000,0.003534000000
100,15350,0.6793930000,0.002849000000
