n, numba, cython
100,0.63854338,0.26712050 
100,0.24856167,0.28423952 
100,0.24355006,0.29839701 
100,0.23886615,0.27571899 
100,0.24100283,0.26878059 
120,0.49612541,0.50206226 
120,0.49684054,0.51270635 
120,0.50772762,0.50201211 
120,0.48418610,0.48798636 
120,0.51220700,0.49028479 
150,1.18179774,1.08190623 
150,1.19294349,1.15207951 
150,1.17143839,1.07403381 
150,1.16361076,1.11297262 
150,1.17833039,1.17048316 
180,2.45413051,2.10161898 
180,2.44202503,2.09750862 
180,2.44262742,2.10046365 
180,2.43325044,2.03494636 
180,2.44311731,2.13467893 
200,3.76336240,3.08658398 
200,3.75296961,3.04753367 
200,3.79447354,3.19067053 
200,3.76617653,3.05120328 
200,3.74878064,3.08820962 
220,5.56940682,4.35430625 
220,5.56097739,4.32833187 
220,5.53647001,4.28688658 
220,5.50339826,4.41662883 
220,5.58352129,4.48387457 
250,9.32662860,7.30963879 
250,9.17163724,7.12775882 
250,9.20033238,7.38881986 
250,9.31698484,6.95973467 
250,9.26831575,7.09435189 
275,13.75371589,10.32084565 
275,13.72191073,10.04306815 
275,13.75382050,10.42514913 
275,13.78709986,10.64074447 
275,13.70645290,10.59904438 
300,19.29073863,14.17786245 
300,19.56026186,14.30641762 
300,19.24489641,13.94244751 
300,19.28332596,14.04528341 
300,19.38063609,13.83682560 
