n, numba, cython
100,0.56637644,0.22860597 
100,0.19752733,0.22749736 
100,0.19560765,0.22805203 
100,0.20135630,0.22754461 
100,0.20002459,0.25889301 
120,0.39736332,0.42229628 
120,0.39770902,0.42545039 
120,0.39745714,0.42203907 
120,0.41965119,0.42200800 
120,0.40108025,0.42227543 
150,0.96477881,0.90591161 
150,0.95738286,0.90545012 
150,0.96596372,0.90549840 
150,0.95705367,0.90509164 
150,0.95625983,0.93533790 
180,1.97102506,1.74149867 
180,1.97557870,1.69639143 
180,1.97188507,1.69378854 
180,1.97555004,1.69543484 
180,1.97147291,1.69395539 
200,3.00928590,2.49591814 
200,3.01105848,2.45302861 
200,3.01065906,2.44911722 
200,3.00934234,2.44659191 
200,3.01002350,2.44731000 
220,4.42284485,3.49435914 
220,4.41083239,3.43634452 
220,4.42227518,3.43800464 
220,4.41339482,3.43626008 
220,4.42124943,3.43737453 
250,7.36570687,5.46636747 
250,7.36009994,5.40551042 
250,7.36454101,5.40240919 
250,7.36029408,5.40845880 
250,7.37197489,5.40377414 
275,10.82063386,7.68786564 
275,10.81864304,7.63752108 
275,10.82167532,7.64775041 
275,10.81906001,7.62703432 
275,10.82044006,7.62522154 
300,15.62131488,10.47574252 
300,15.33199363,10.42394703 
300,15.33497241,10.42736526 
300,15.33699323,10.42287984 
300,15.32537048,10.42829208 
350,28.39469353,18.16913959 
350,28.20760875,18.12723591 
350,28.22284427,18.14555549 
350,28.21746184,18.13631794 
350,28.21117288,18.42081421 
