n,python, numba, cython
5,0.00106324,0.39063912,0.00002132 
5,0.00102980,0.00005219,0.00001500 
5,0.00103342,0.00002941,0.00001438 
5,0.00105208,0.00005491,0.00001421 
5,0.00103903,0.00003016,0.00001445 
10,0.01475266,0.00015406,0.00021531 
10,0.01358789,0.00016264,0.00026047 
10,0.01674078,0.00013962,0.00014567 
10,0.01408210,0.00013783,0.00014344 
10,0.01334008,0.00013983,0.00014311 
20,0.23157681,0.00086223,0.00134579 
20,0.27134083,0.00093702,0.00134456 
20,0.27883103,0.00084241,0.00145602 
20,0.19084565,0.00085133,0.00134069 
20,0.20016218,0.00085353,0.00134819 
25,0.50012295,0.00178502,0.00359767 
25,0.49326684,0.00174982,0.00289273 
25,0.48283967,0.00179316,0.00289233 
25,0.47052243,0.00183755,0.00286775 
25,0.48936311,0.00177977,0.00297755 
30,1.04128556,0.00302008,0.00571289 
30,1.04884804,0.00314054,0.00550598 
30,1.02102383,0.00317826,0.00532299 
30,0.99251673,0.00330386,0.00521062 
30,1.02275253,0.00366088,0.00538712 
40,3.31127503,0.01108455,0.01579539 
40,3.32855382,0.01148058,0.01642379 
40,3.53557119,0.01154334,0.01545670 
40,3.37712420,0.01145917,0.01315511 
40,3.57963130,0.01127812,0.01313792 
50,8.32669053,0.02485239,0.04496291 
50,8.11090314,0.02492625,0.04026006 
50,8.51350287,0.02530031,0.04670524 
50,8.49223428,0.02857660,0.04015845 
50,8.40349841,0.02627999,0.04700049 
60,16.92028373,0.04226301,0.07376722 
60,17.35792213,0.03574447,0.05088440 
60,17.66287761,0.03432244,0.05276620 
60,17.68274863,0.03559901,0.05227264 
60,17.54274989,0.03638482,0.04981483 
70,31.98610755,0.06646304,0.09357835 
70,33.04049755,0.06402050,0.08747143 
70,33.05867575,0.06277114,0.09222101 
70,32.86739410,0.06141875,0.08985716 
70,32.96153005,0.06125295,0.08582428 
80,54.95436457,0.10121063,0.13182754 
80,55.64295966,0.10225297,0.12751430 
80,52.22368969,0.11093084,0.13489610 
80,51.68985314,0.10031995,0.13995348 
80,52.41366215,0.09993497,0.13845105 
90,82.72048754,0.15890288,0.19189130 
90,82.48201073,0.15986570,0.19770273 
90,82.58700382,0.16219698,0.19518124 
90,81.41727154,0.16246700,0.19286761 
90,81.77988084,0.16257339,0.19763920 
100,124.08659879,0.24802036,0.28361804 
100,126.66004517,0.23977948,0.28184820 
100,123.53169196,0.23880715,0.28391376 
100,126.08694314,0.24272112,0.26607212 
100,124.88054284,0.24166319,0.26201545 
