n,python, numba, cython
5,0.00176099,0.34532173,0.00002399 
5,0.00121907,0.00003881,0.00001690 
5,0.00091260,0.00002660,0.00001634 
5,0.00091867,0.00002615,0.00001713 
5,0.00091277,0.00002612,0.00002140 
10,0.01185648,0.00012952,0.00012973 
10,0.01159197,0.00012183,0.00013438 
10,0.01181242,0.00012121,0.00013230 
10,0.01176558,0.00012085,0.00014760 
10,0.01171350,0.00012073,0.00014767 
20,0.16757453,0.00071468,0.00124201 
20,0.16501119,0.00070915,0.00118735 
20,0.16993691,0.00070588,0.00115532 
20,0.16806321,0.00070313,0.00115256 
20,0.16679748,0.00070507,0.00116448 
25,0.41605001,0.00141900,0.00257083 
25,0.41871445,0.00139913,0.00245788 
25,0.45205736,0.00139465,0.00246520 
25,0.42449410,0.00140223,0.00246364 
25,0.41166938,0.00139403,0.00245610 
30,0.86161489,0.00249581,0.00453261 
30,0.86403471,0.00248582,0.00445960 
30,0.86040563,0.00332509,0.00445700 
30,0.86427976,0.00334203,0.00445731 
30,0.90071969,0.00249804,0.00453784 
40,2.67425374,0.00663323,0.01183543 
40,2.73297433,0.00661163,0.01135341 
40,2.72498657,0.00666849,0.01138722 
40,2.73059502,0.00661758,0.01138610 
40,2.72538138,0.00662355,0.01138591 
50,6.63361726,0.01441844,0.02371634 
50,6.56065301,0.01441370,0.02323256 
50,7.15803209,0.01442205,0.02335437 
50,7.55996709,0.01441278,0.02323903 
50,7.22775451,0.01442845,0.02319140 
60,14.55171254,0.02820232,0.04410708 
60,14.56977397,0.02820561,0.04244634 
60,14.09666127,0.02819722,0.04216178 
60,13.49790498,0.02822089,0.04257093 
60,13.61590583,0.02819363,0.04210146 
70,25.04034886,0.04987094,0.06953067 
70,24.71048382,0.04985593,0.06933566 
70,25.05292477,0.04984446,0.06936309 
70,24.75817196,0.04983006,0.06945630 
70,25.05055923,0.04986181,0.06938250 
80,42.43143335,0.08249662,0.10815431 
80,42.10473680,0.08232239,0.10730245 
80,42.64989241,0.08210952,0.10743489 
80,42.30406030,0.08204500,0.10732921 
80,42.43964790,0.08211303,0.10746476 
90,68.09246370,0.12943555,0.15978761 
90,66.92746276,0.12950398,0.15908361 
90,68.16314976,0.12947340,0.16556245 
90,68.21040576,0.12953348,0.15899183 
90,66.84501695,0.12952114,0.15916130 
100,104.47124401,0.19575302,0.22766050 
100,105.51705859,0.19553527,0.22754015 
100,104.57821134,0.19565485,0.22755312 
100,103.28158004,0.19560804,0.22739241 
100,102.84811853,0.19593885,0.24587681 
