T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,4,100.0,0,0,-1.99,-0.99625,0.99625,0.07959999999999923,0.012443750000000087,3
1.0,4,112.31045018329516,0,0,-1.985567679909172,0.9950098126899102,0.9950098126899102,0.11462539327380838,0.015409195892151839,1
1.0,4,126.13637220374436,0,0,-1.9938737384468255,-0.997927860147094,0.997927860147094,0.048859968102924256,0.0062894025099815565,2
1.0,4,141.66432746690208,0,0,-1.9765032242532485,0.9900163471482789,0.9900163471482789,0.1857658120920398,0.03600644806652076,5
1.0,4,159.10384392721534,0,0,-1.9766964281760104,-0.9922764661312803,0.9922764661312803,0.18425634875289276,0.022799019486643868,6
1.0,4,178.69024337358286,0,0,-1.9922744145337608,0.9961372072668804,0.9961372072668804,0.06156594504672874,0.015391486261682186,0
1.0,4,200.68781676649664,0,0,-1.988162542344275,-0.9947041291114684,0.9947041291114684,0.09413915963079589,0.019825582681592735,3
1.0,4,225.39339047347912,0,0,-1.98098089328195,0.990490446640975,0.9927087903064643,0.1507059480629902,0.024515504487983453,7
1.0,4,253.1403315241567,0,0,-1.973213817776539,-0.9910510841535319,0.9910510841535319,0.21141945955525365,0.02658698047603858,9
1.0,4,284.30304593026653,0,0,-1.9714878472933375,-0.9870629387095322,0.9905803122105016,0.22484545024542868,0.027651051958121453,12
1.0,4,319.3020307691027,0,0,-1.9855808573245977,-0.9951393019162317,0.9951393019162317,0.11452149470124517,0.014650540283761337,7
1.0,4,358.60954820118286,0,0,-1.9533779942942675,-0.315105943405071,0.9829632305335179,0.3642815999817586,0.054437605037743975,31
1.0,4,402.75599798502975,0,0,-1.9912800902093828,-0.9965711299349015,0.9965711299349015,0.06945513101791079,0.011806282000280444,6
1.0,4,452.3370744772101,0,0,-1.9896666684688131,0.9962150471986211,0.9962150471986211,0.0822395412873611,0.012319081806251742,8
1.0,4,508.0218046913023,0,0,-1.9890878514831205,-0.995036030603382,0.9960202403270253,0.08682088819401734,0.012903055572750066,13
1.0,4,570.5615758781021,0,0,-1.9656073023739746,-0.3290617664027764,0.9876234640104633,0.2704101504082228,0.039253803738793724,36
1.0,4,640.8002744415996,0,0,-1.9959417169640488,0.9981659270626503,0.9981659270626503,0.032400385642811,0.006932699293988875,3
1.0,4,719.6856730011522,0,0,-1.9953155299198253,-0.9981788257703026,0.9981788257703026,0.03738798360167017,0.006229308595709693,4
1.0,4,808.2822192522715,0,0,-1.9974458939521733,0.9987229469760867,0.9990322448847198,0.020406754551800077,0.0032486784440020067,4
1.0,4,907.7853991937558,0,0,-1.9944141000813462,-0.09239518511147357,0.997895538752383,0.04456239023762443,0.007023152538477184,8
1.0,4,1019.5378685327302,0,0,-1.9910981854175542,-0.9956716972768447,0.9966525338213854,0.0708975474481246,0.01113816036997406,18
1.0,4,1145.0475699382812,0,0,-1.9911836502328837,0.06309781523216046,0.9971201459006118,0.07021988604406637,0.008429600590678099,19
1.0,4,1286.0080806105664,0,0,-1.9922114321269448,-0.9966889161314253,0.9972721161993782,0.062065895826387774,0.008548969530556949,23
1.0,4,1444.3214647272819,0,0,-1.9954006572520073,0.9980465119461376,0.9983926952662715,0.036710126169086976,0.00503415194034984,17
1.0,4,1622.1239391291729,0,0,-1.997689524106057,0.9759581014813768,0.9992300593690496,0.018462453956118452,0.0023067966574581433,8
1.0,4,1821.8146985669748,0,0,-1.9971844572678086,0.7769039305223099,0.998935293162087,0.02249263273402491,0.0035681638926843284,9
1.0,4,2046.088289466011,0,0,-1.99478195589751,-0.8842482552266495,0.9982462685092892,0.04163544088289761,0.005292042545208986,20
