T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,4,100.0,0,0,-1.995,0.99875,0.99875,0.03989999999999938,0.0024937499999997392,2
1.0,4,108.04718223181285,0,0,-1.934340125146393,0.9764252784829878,0.9764252784829878,0.5080341221656912,0.07356538427004766,13
1.0,4,116.74193588234587,0,0,-1.9444597888866064,-0.979725058827778,0.979725058827778,0.4319828287050669,0.06446514296179018,9
1.0,4,126.13637220374436,0,0,-1.9819818473626496,-0.9919819146050061,0.9939638964523687,0.1428466058009512,0.01805273046428635,6
1.0,4,136.2867959355774,0,0,-1.9884538200465243,-0.9951440935195935,0.9951440935195935,0.09183618254173354,0.01749493961797688,3
1.0,4,147.25404276241224,0,0,-1.945617211082312,-0.9227250909452326,0.9804484636998562,0.4232323604196413,0.061397378596391494,16
1.0,4,159.10384392721534,0,0,-1.9766964281760104,-0.9899195149053153,0.9914908157226253,0.18425634875289276,0.02746190897199341,7
1.0,4,171.90722018585745,0,0,-1.983628143316656,0.9925412080744999,0.9925412080744999,0.12990270270171145,0.028158360561705287,3
1.0,4,185.74090746385718,0,0,-1.992022140152391,0.9960110700761955,0.9960110700761955,0.0635682937898796,0.0158920734474699,0
1.0,4,200.68781676649664,0,0,-1.9856711105869516,0.9940812711721375,0.9940812711721375,0.11380984701714247,0.021043358150375724,4
1.0,4,216.83753109874354,0,0,-1.980745666230696,-0.47558648854491387,0.9921022385282385,0.1525517526788338,0.02788273651620532,7
1.0,4,234.2868423732233,0,0,-1.9954172213190864,0.9982421446759386,0.9982421446759386,0.036578222005555716,0.00595199304209304,2
1.0,4,253.1403315241567,0,0,-1.9890153298308055,0.9964828539221862,0.9964828539221862,0.08739470943865157,0.010068725031557868,3
1.0,4,273.5109953041211,0,0,-1.9816387980941748,0.9921904591011194,0.9931044991371407,0.14554108030489665,0.022821611542731546,8
1.0,4,295.52092352028876,0,0,-1.9897068302158014,-0.9961223607904363,0.9961223607904363,0.08192156089676317,0.01291252112982555,3
1.0,4,319.3020307691027,0,0,-1.9840149418219757,0.9943563441649207,0.9943563441649207,0.12685837708437475,0.017749473427711937,10
1.0,4,344.99684705497157,0,0,-1.9884239692506327,0.9942119846253163,0.994936628928979,0.09207222804329795,0.018701644770347414,5
1.0,4,372.7593720314938,0,0,-1.9798294969164387,-0.9895794114838095,0.9922621072790891,0.15973662788991483,0.02601735330686239,11
1.0,4,402.75599798502975,0,0,-1.9962458759705033,0.9981229379852516,0.9981229379852516,0.029976618447058456,0.007494154611764614,1
1.0,4,435.1665070924416,0,0,-1.9934898156482403,0.9976066469375128,0.9976066469375128,0.05191194481290218,0.007827021467636808,7
1.0,4,470.1851489299852,0,0,-1.9768808141118275,0.30785744792112646,0.9921623451136822,0.1828155000808529,0.023661028093266534,18
1.0,4,508.0218046913023,0,0,-1.9890878514831205,-0.9965123451888469,0.9965123451888469,0.08682088819401734,0.00996512540571226,9
1.0,4,548.9032450921558,0,0,-1.9848671140887189,-0.44019597654124526,0.9944830985802473,0.12014707034623306,0.01784677780213384,11
1.0,4,593.0744895010558,0,0,-1.9879459003402322,0.5332382451082259,0.9960806112179746,0.09585159200371152,0.01140078659868582,14
1.0,4,640.8002744415996,0,0,-1.9811165048364814,0.9930941439663773,0.9930941439663773,0.14964161574978618,0.02236087764798933,21
1.0,4,692.3666402678728,0,0,-1.9758317637469196,0.3408598656756382,0.991526685535278,0.19100947545030422,0.026384462303179035,31
1.0,4,748.0826455225086,0,0,-1.9951004196301636,0.9983856790025317,0.9983856790025317,0.0391006194074901,0.0047759214858418275,9
1.0,4,808.2822192522715,0,0,-1.9962087023176411,0.9981043511588206,0.9987229469760867,0.030272885706406072,0.003864497003418066,6
1.0,4,873.3261623828438,0,0,-1.9941003430475166,0.647524400800098,0.997908957201212,0.04705803181123969,0.00662911000029931,12
1.0,4,943.604310147889,0,0,-1.9987191450030695,0.9993595725015347,0.9993595725015347,0.010240277617350912,0.002560069404337728,1
1.0,4,1019.5378685327302,0,0,-1.9974736229570687,0.999104625182737,0.999104625182737,0.020185486019599352,0.0028426650763928585,5
1.0,4,1101.5819387358995,0,0,-1.9989434490246503,-0.9994717245123251,0.9994717245123251,0.00844794260294357,0.0021119856507358925,0
1.0,4,1190.2282447787145,0,0,-1.9916348065162242,-0.9350097385790942,0.9971826876118723,0.0666416420221232,0.008506931848620614,17
1.0,4,1286.0080806105664,0,0,-1.9894898318098315,0.9950365159388922,0.9963973160974489,0.08363949097980594,0.011054017899931434,23
1.0,4,1389.4954943731375,0,0,-1.9931694713766908,0.6055255331213444,0.997574303488722,0.05445760450137804,0.007700114430099436,19
1.0,4,1501.3107289081743,0,0,-1.9862643639192898,0.5299535830125033,0.9950471752682525,0.10913041785151378,0.01588319041848152,42
1.0,4,1622.1239391291729,0,0,-1.9970730484004233,0.9988447620530285,0.9989988809794369,0.023381344613948585,0.003075753566628592,11
1.0,4,1752.6592085367583,0,0,-1.9932568653301497,-0.11717908364596522,0.9975555952258768,0.05376319789809969,0.007899393516089592,22
1.0,4,1893.6988889503602,0,0,-1.9960934771922367,-0.9986408140357589,0.9986408140357589,0.031191138780314986,0.004241203431742058,13
1.0,4,2046.088289466011,0,0,-1.9986918556028095,0.9994070199843,0.9995292043500906,0.010458310210468724,0.0015157429080900897,6
1.0,4,2210.7407427431235,0,0,-1.9929971501465895,-0.003957949401675592,0.9975163334908685,0.05582663920300668,0.007874474804064224,27
1.0,4,2388.643078984598,0,0,-1.9986242574296227,-0.9995214525792259,0.9995214525792259,0.010998369892538662,0.0014946259237316184,8
1.0,4,2580.861540418074,0,0,-1.9960388883029765,0.16593296203353386,0.9986006454195566,0.03162613195268271,0.004427183012669644,17
1.0,4,2788.5481717262915,0,0,-1.99171743070937,0.6755755626175035,0.9972483273539645,0.06598615050882373,0.008197179776178842,37
1.0,4,3012.947724726992,0,0,-1.9980432951406357,-0.9992290856200625,0.9993120608399604,0.015638324099287004,0.0021690370597213793,11
1.0,4,3255.405118685032,0,0,-1.9943754350987013,0.619892125996023,0.9980324664821996,0.04486997628907474,0.006165151452929063,36
1.0,4,3517.37350096938,0,0,-1.9968024430912268,-0.5748252209902576,0.9989342897567327,0.025539557789446832,0.0031921615975400996,19
1.0,4,3800.422956365882,0,0,-1.9985933374276648,-0.7483048683400829,0.9995269062452983,0.011245385780311423,0.0014310046850720681,12
1.0,4,4106.249917244298,0,0,-1.9957382441786837,0.5814003161313099,0.9985083915086181,0.03402139631980816,0.0046789955434087815,33
1.0,4,4436.6873309786115,0,0,-1.996083866033131,-0.32369308289372517,0.9986335906665583,0.03126772731396521,0.004274853735914963,35
1.0,4,4793.715645558219,0,0,-1.9950077783319058,0.3246177109904049,0.9983643907695101,0.03983808423602042,0.0048107328446258535,44
1.0,4,5179.474679231213,0,0,-1.9967275912110567,0.6688902281716018,0.9988947374809712,0.02613643567441848,0.0033542799042853844,36
1.0,4,5596.276445319552,0,0,-1.9915921075202678,0.029729589241279848,0.9971585668658575,0.06698036921405404,0.00860841135610002,83
1.0,4,6046.619009070436,0,0,-1.9957434033627284,-0.37405201098451635,0.9985745738143074,0.03398029863844343,0.004287833117640805,50
1.0,4,6533.20145959377,0,0,-1.9977188948971327,-0.16542425741562855,0.9992421082337054,0.01822802706097626,0.002263947895182472,32
1.0,4,7058.940086618738,0,0,-1.994279569915316,-0.48369513809480424,0.9980074789633928,0.04563254739605682,0.006218815574633663,78
1.0,4,7626.9858590234435,0,0,-1.9959391929368475,0.021453429051060346,0.9985432175660457,0.03242049588920359,0.004671398680333727,65
1.0,4,8240.743309893658,0,0,-1.9958151081170175,-0.5085706279636664,0.9986053066499645,0.033409081783570826,0.004175487539067824,63
1.0,4,8903.890941296735,0,0,-1.9921627653512894,-0.06678260144024188,0.9973308364339339,0.062452188201929104,0.008149249011116133,122
1.0,4,9620.40327106476,0,0,-1.9948228217959092,0.01935989529255839,0.9982689633068866,0.04131021293609827,0.005197056002457678,92
1.0,4,10394.574653722626,0,0,-1.996859004958557,0.30723960396554195,0.9989465991550982,0.02508849693214188,0.0031749714146078745,65
1.0,4,11231.045018329516,0,0,-1.996519465766967,0.06878255752151728,0.998860745522021,0.027795817390074973,0.003349801031778288,79
1.0,4,12134.827677491432,0,0,-1.9975973820347739,0.7901842741274288,0.9991901263246069,0.01919785342946234,0.002454000505651699,57
1.0,4,13111.33937421563,0,0,-1.9970499773267005,0.13336738147734883,0.999011209011863,0.023565370851303058,0.002978812425049604,75
