T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,400,100.0,-1,0,-1.99746475,-0.9993575,0.9993575,0.02069600297487341,0.0013498774999607121,28
1.0,400,137.38237958832624,-1,0,-1.9926543769319145,-0.9967641986573654,0.9967641986573654,4.447076706502121,1.1101542339927983,32
1.0,400,188.73918221350976,-1,0,-1.9897651647932102,-0.995483080388971,0.995483080388971,6.245183518657869,1.5597082266987854,46
1.0,400,259.2943797404667,-1,0,-1.9950568366263228,-0.9981560350789507,0.9981560350789507,1.8316801006087917,0.4547139992660959,86
1.0,400,356.2247890262444,-1,0,-1.9953897002592713,-0.9985008720821924,0.9985008720821924,1.0326573264642502,0.2538254176952614,116
1.0,400,489.3900918477494,-1,0,-1.9957365632646527,-0.9985299981349578,0.9985299981349578,1.294688900448964,0.31968465731675677,141
1.0,400,672.3357536499335,-1,0,-1.9954263442287974,-0.9985694779063702,0.9985694779063702,0.8243650307078496,0.20141519894255908,240
1.0,400,923.6708571873866,-1,0,-1.9960214027040288,-0.9986338399901139,0.9986338399901139,1.1787756315883597,0.29127361729399126,230
1.0,400,1268.9610031679222,-1,0,-1.9956625685721596,-0.9985262130489012,0.9985262130489012,1.2311207526290673,0.3038413462149038,368
1.0,400,1743.3288221999874,-1,0,-1.9967241008539238,-0.9990679413548977,0.9990679413548977,0.3247339164352161,0.07694478411300225,534
1.0,400,2395.026619987486,-1,0,-1.9972832494133173,-0.9993025359411267,0.9993025359411267,0.039867013442562896,0.005908834056317574,707
1.0,400,3290.3445623126677,-1,0,-1.9969927010870918,-0.999184078669627,0.999184078669627,0.18988833529263502,0.043328618954328706,932
1.0,400,4520.35365636024,-1,0,-1.996905161900154,-0.9991693417936542,0.9991693417936542,0.14858230288460617,0.03285378210050112,1370
1.0,400,6210.169418915616,-1,0,-1.9972596218100915,-0.9992896640786998,0.9992896640786998,0.06557315941114211,0.012357680170462118,1742
1.0,400,8531.678524172805,-1,0,-1.9970515358408858,-0.9992103591744912,0.9992103591744912,0.1499738668842474,0.03330147535751166,2522
1.0,400,11721.022975334794,-1,0,-1.9971721367034825,-0.9992797706008634,0.9992797706008634,0.026726371492550242,0.002352291575516574,3364
