T,spins,cycles,ordered,delay,E,M,Mabs,cv,suscept,accepted
1.0,400,100.0,-1,0,-1.7793235,0.640949625,0.6482671249999999,25.66649093909975,56.41522710769375,2276
1.0,400,100.0,-1,0,-1.8588605,0.8508771249999999,0.850890625,25.4679006159,20.444289964843776,1465
1.0,400,100.0,0,0,-1.72116925,0.53736875,0.5384982500000001,22.7369201417749,44.588557898775,2844
1.0,400,100.0,0,0,-1.86703225,0.8357647500000001,0.83582475,23.250103983974842,29.27477741497496,1345
1.0,400,100.0,1,0,-1.82151475,0.734450375,0.7344641249999999,24.185603212974964,45.19218438519376,2001
1.0,400,100.0,1,0,-1.8921014999999999,-0.884735625,0.8847443749999999,23.39005747910007,19.619012612343795,1187
2.4,400,100.0,-1,0,-1.16472525,0.2722795,0.27747,1.7584048272525985,8.491030058333331,11906
2.4,400,100.0,-1,0,-1.10866175,-0.11515750000000001,0.18390450000000003,1.0080216379817684,3.4273716466249993,12507
2.4,400,100.0,0,0,-1.214863,-0.49834625000000005,0.49834825000000005,1.3780177938194431,3.242472161989576,11064
2.4,400,100.0,0,0,-1.13921,-0.36426137500000005,0.37338387500000003,1.7180840902777592,7.194432294164058,12192
2.4,400,100.0,1,0,-1.13855625,-0.23354,0.2635175,1.624662367078991,8.340347865625002,12374
2.4,400,100.0,1,0,-1.1312255,0.19670987499999998,0.201541125,1.3301408437326296,2.2020205097890626,12472
